epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.1488,1.12917,2.38644,1.18891,0.11438,0.03945,0.01772,0.00794,1.55537,3.6764,1.70096,0.000656566,0.000656566,0.000656566
2,90.0087,1.54612,2.22006,1.44697,0.00381,0.18935,0.00253,0.00122,nan,nan,nan,0.00129703,0.00129703,0.00129703
3,131.521,1.59886,2.14542,1.4751,0.00796,0.22189,0.00453,0.00216,2.57093,74.3811,7.92647,0.0019111,0.0019111,0.0019111
4,172.14,1.61235,2.07534,1.49932,0.31928,0.12032,0.09299,0.04988,2.31598,3.54578,2.15542,0.0018812,0.0018812,0.0018812
5,217.436,1.56776,1.94744,1.46606,0.40282,0.24458,0.20666,0.11075,1.72842,2.48435,1.69699,0.0018416,0.0018416,0.0018416
6,261.92,1.49004,1.87822,1.41311,0.42723,0.28542,0.26564,0.15732,1.55731,2.65357,1.50083,0.001802,0.001802,0.001802
7,305.471,1.4075,1.73997,1.37327,0.39102,0.27811,0.24691,0.15309,1.5438,2.06877,1.51424,0.0017624,0.0017624,0.0017624
8,345.641,1.37302,1.69164,1.34827,0.44306,0.24063,0.21756,0.13375,1.58353,2.58967,1.53292,0.0017228,0.0017228,0.0017228
9,387.225,1.35777,1.69974,1.35485,0.50118,0.27416,0.28112,0.17496,1.54406,1.90719,1.47709,0.0016832,0.0016832,0.0016832
10,430.656,1.29393,1.61785,1.29132,0.50654,0.3118,0.31512,0.1898,1.47875,2.05011,1.45259,0.0016436,0.0016436,0.0016436
11,476.984,1.3056,1.60041,1.29575,0.52825,0.33531,0.33632,0.2145,1.42299,1.74203,1.39195,0.001604,0.001604,0.001604
12,519.764,1.27914,1.57327,1.30491,0.51024,0.31361,0.31481,0.21091,1.37352,2.0368,1.38485,0.0015644,0.0015644,0.0015644
13,560.591,1.24451,1.48294,1.26097,0.52214,0.34517,0.3497,0.22748,1.34877,1.64977,1.35727,0.0015248,0.0015248,0.0015248
14,607.47,1.20048,1.47288,1.22888,0.59967,0.34715,0.38392,0.2525,1.32387,1.57243,1.31824,0.0014852,0.0014852,0.0014852
15,649.131,1.19222,1.46523,1.24298,0.52221,0.37968,0.36601,0.23287,1.37756,1.75071,1.37566,0.0014456,0.0014456,0.0014456
16,691.456,1.17766,1.43082,1.23951,0.61038,0.33531,0.36843,0.24295,1.29271,1.57015,1.31269,0.001406,0.001406,0.001406
17,731.743,1.15538,1.35448,1.22228,0.58456,0.36785,0.40004,0.27603,1.23139,1.57637,1.29326,0.0013664,0.0013664,0.0013664
18,774.726,1.14873,1.38812,1.22137,0.57639,0.38244,0.39711,0.2758,1.22173,1.44927,1.28322,0.0013268,0.0013268,0.0013268
19,815.24,1.12567,1.35491,1.19449,0.59007,0.357,0.37099,0.25329,1.25843,1.64794,1.29808,0.0012872,0.0012872,0.0012872
20,856.521,1.12185,1.34335,1.18669,0.60328,0.35306,0.40051,0.26985,1.22191,1.4935,1.29048,0.0012476,0.0012476,0.0012476
21,897.624,1.07019,1.29503,1.17817,0.58429,0.39921,0.41804,0.27892,1.23967,1.43375,1.29199,0.001208,0.001208,0.001208
22,944.028,1.06805,1.26959,1.19021,0.57169,0.37673,0.39066,0.26604,1.22943,1.49219,1.29699,0.0011684,0.0011684,0.0011684
23,984.986,1.09206,1.27299,1.18713,0.58175,0.37771,0.40447,0.27942,1.21097,1.41658,1.27265,0.0011288,0.0011288,0.0011288
24,1026.06,1.0481,1.25809,1.1537,0.58435,0.41455,0.42438,0.2908,1.17608,1.37444,1.26627,0.0010892,0.0010892,0.0010892
25,1072.21,1.02201,1.2291,1.1446,0.64698,0.38856,0.42157,0.29241,1.19621,1.52943,1.26189,0.0010496,0.0010496,0.0010496
26,1116.51,1.01413,1.2219,1.12792,0.56734,0.41026,0.42444,0.29142,1.15168,1.54401,1.23623,0.00101,0.00101,0.00101
27,1161.35,1.01034,1.17667,1.15207,0.56748,0.41924,0.44019,0.30491,1.15657,1.37926,1.23317,0.0009704,0.0009704,0.0009704
28,1207.68,0.99119,1.16879,1.13118,0.60005,0.39152,0.42069,0.29226,1.1751,1.42291,1.26825,0.0009308,0.0009308,0.0009308
29,1249.29,1.00629,1.15043,1.12938,0.65525,0.38166,0.42399,0.29142,1.19292,1.4255,1.24137,0.0008912,0.0008912,0.0008912
30,1290.05,0.97255,1.15103,1.11259,0.64682,0.41902,0.45133,0.30976,1.1528,1.31324,1.22763,0.0008516,0.0008516,0.0008516
31,1336.11,0.9366,1.10909,1.10643,0.57423,0.41519,0.45033,0.31364,1.15137,1.29371,1.24234,0.000812,0.000812,0.000812
32,1382.95,0.93043,1.08057,1.08497,0.74236,0.36686,0.45954,0.31961,1.12039,1.3134,1.22535,0.0007724,0.0007724,0.0007724
33,1430.9,0.93359,1.09117,1.09554,0.60895,0.4085,0.44313,0.31025,1.13679,1.33659,1.22598,0.0007328,0.0007328,0.0007328
34,1476.41,0.93762,1.08668,1.10438,0.66199,0.39015,0.45553,0.31922,1.1293,1.3897,1.21837,0.0006932,0.0006932,0.0006932
35,1521.81,0.89598,1.0237,1.07677,0.69813,0.3787,0.46066,0.32044,1.10462,1.31539,1.2127,0.0006536,0.0006536,0.0006536
36,1567.82,0.86872,1.00466,1.06444,0.67102,0.39842,0.46121,0.32808,1.11329,1.31992,1.21948,0.000614,0.000614,0.000614
37,1613.71,0.88907,0.99704,1.06645,0.71636,0.40039,0.47367,0.33429,1.09723,1.26488,1.205,0.0005744,0.0005744,0.0005744
38,1661.3,0.8553,0.97073,1.05923,0.6426,0.41815,0.47554,0.33556,1.1,1.24509,1.22754,0.0005348,0.0005348,0.0005348
39,1706.6,0.84455,0.93626,1.04408,0.60673,0.43886,0.48826,0.34256,1.08358,1.21903,1.20697,0.0004952,0.0004952,0.0004952
40,1755.22,0.84436,0.96069,1.05516,0.66378,0.4142,0.47603,0.34067,1.07283,1.27219,1.18876,0.0004556,0.0004556,0.0004556
41,1801.89,0.85669,1.00542,1.05761,0.63364,0.41449,0.46755,0.33503,1.07523,1.29261,1.1991,0.000416,0.000416,0.000416
42,1843.75,0.84386,0.9488,1.0475,0.68349,0.40828,0.47229,0.33444,1.06687,1.27269,1.20544,0.0003764,0.0003764,0.0003764
43,1889.5,0.82858,0.91996,1.04996,0.66177,0.43787,0.48873,0.34045,1.07287,1.2203,1.20693,0.0003368,0.0003368,0.0003368
44,1934.69,0.8055,0.88682,1.02599,0.67954,0.43294,0.48661,0.35019,1.05245,1.1688,1.18856,0.0002972,0.0002972,0.0002972
45,1975.82,0.8074,0.89334,1.03548,0.66138,0.43688,0.4927,0.35109,1.0555,1.1849,1.19249,0.0002576,0.0002576,0.0002576
46,2022.01,0.79108,0.84444,1.01463,0.66838,0.44181,0.49433,0.35356,1.0501,1.19354,1.19369,0.000218,0.000218,0.000218
47,2064.78,0.77898,0.81436,1.01234,0.69519,0.42406,0.4984,0.35757,1.04087,1.18621,1.18681,0.0001784,0.0001784,0.0001784
48,2112.71,0.78071,0.82445,1.01823,0.68189,0.43337,0.50179,0.35853,1.04531,1.17042,1.18635,0.0001388,0.0001388,0.0001388
49,2157.68,0.74886,0.79679,1.0013,0.69468,0.43393,0.50499,0.36125,1.03594,1.17178,1.17944,9.92e-05,9.92e-05,9.92e-05
50,2198.74,0.75401,0.78219,0.99539,0.71677,0.42406,0.50511,0.36099,1.03091,1.16451,1.17915,5.96e-05,5.96e-05,5.96e-05
